unique_id,unique_id_user,reference,regionname1,regionname2,lat,lon,rsl,rsl_er_max,rsl_er_min,age,age_er_max,age_er_min,primary_indicator,secondary_indicator,type_category,type,database,database2,notes
gsl_lgm_5699,beta100915,smith_et_al_2002_trse_(as_in_shennan_et_al._2018),3,n_solway_firth,54.93,-4.4,1.81,0.21,0.21,8661,319,235,sedimentary_indicator,high_marsh_environment,,0,holsea,shennan18,
gsl_lgm_5700,q1427,devoy_1979_1982_(as_in_shennan_et_al._2018),3,thames,51.45,0.37,-16.31,0.21,0.21,8661,319,235,sedimentary_indicator,high_marsh_environment,,0,holsea,shennan18,
gsl_lgm_5701,srr3691,smith_et_al_1992_(as_in_shennan_et_al._2018),3,dornoch_firth,57.87,-4.27,-3.22,0.21,0.21,8669,307,128,sedimentary_indicator,high_marsh_environment,,0,holsea,shennan18,
gsl_lgm_5702,srr4708,smith_et_al_1999_trsed_(as_in_shennan_et_al._2018),3,aberdeen,57.34,-2.01,-5.07,0.31,0.31,8674,297,124,sedimentary_indicator,high_marsh_environment,,0,holsea,shennan18,
gsl_lgm_5703,aa24222,shennan_et_al_2000_jqs_(as_in_shennan_et_al._2018),3,ne_england_(south),55.34,-1.6,-5.1,0.21,0.21,8711,268,160,sedimentary_indicator,high_marsh_environment,,0,holsea,shennan18,
gsl_lgm_5704,beta288890,griffiths_et_al_2015_(as_in_shennan_et_al._2018),3,bristol_channel,51.23,-3.18,-19.3,0.21,0.21,8712,264,118,sedimentary_indicator,high_marsh_environment,,0,holsea,shennan18,
gsl_lgm_5705,q2782,zong_&_tooley_1996_(as_in_shennan_et_al._2018),3,morecambe_bay,53.92,-3.01,-3.88,0.23,0.23,8716,279,234,sedimentary_indicator,freshwater_to_high_marsh_transition,,0,holsea,shennan18,
gsl_lgm_5706,aa27617,shennan_et_al_2000_jqs_(as_in_shennan_et_al._2018),3,ne_england_(south),55.4,-1.61,-3.62,0.21,0.21,8719,260,161,sedimentary_indicator,high_marsh_environment,,0,holsea,shennan18,
gsl_lgm_5707,gra53520,griffiths_et_al_2015_(as_in_shennan_et_al._2018),3,bristol_channel,51.22,-3.17,-18.15,0.21,0.21,8721,255,124,sedimentary_indicator,high_marsh_environment,,0,holsea,shennan18,
gsl_lgm_5708,beta288889,griffiths_et_al_2015_(as_in_shennan_et_al._2018),3,bristol_channel,51.23,-3.17,-19.23,0.5,0.5,8726,252,133,sedimentary_indicator,freshwater_to_high_marsh_transition,,0,holsea,shennan18,
